id,code,cytoplasm,cyto.num
290,TK158,TSU,2
291,TK159,TSU,2
292,TK161,TSU,2
293,TK162,TSU,2
294,TK163,TSU,2
295,TK164,TSU,2
296,TK165,TSU,2
297,TK166,TSU,2
298,TK167,TSU,2
299,TK168,TSU,2
300,TK169,TSU,2
301,TK170,TSU,2
302,TK171,TSU,2
303,TK172,TSU,2
304,TK173,TSU,2
305,TK174,TSU,2
306,TK175,TSU,2
307,TK176,TSU,2
308,TK177,TSU,2
309,TK178,TSU,2
310,TK179,TSU,2
311,TK180,TSU,2
312,TK181,TSU,2
313,TK183,TSU,2
314,TK184,TSU,2
315,TK186,TSU,2
316,TK187,TSU,2
317,TK188,TSU,2
318,TK190,TSU,2
319,TK192,TSU,2
320,TK193,TSU,2
321,TK194,TSU,2
322,TK195,TSU,2
323,TK196,TSU,2
324,TK197,TSU,2
325,TK198,TSU,2
326,TK199,TSU,2
327,TK200,TSU,2
328,TK201,TSU,2
329,TK203,TSU,2
330,TK204,TSU,2
331,TK205,TSU,2
332,TK206,TSU,2
333,TK207,TSU,2
334,TK208,TSU,2
335,TK209,TSU,2
336,TK210,TSU,2
337,TK211,TSU,2
338,TK212,TSU,2
339,TK213,TSU,2
340,TK214,TSU,2
341,TK215,TSU,2
